image,tile_name,total_pixels,black_pixels,non_black_pixels
16045-31-16110141B02201002,"16045-31-16110141B02201002 [d=2.1991,x=10556,y=10556,w=879,h=879]",480000,417684,62316
16045-31-16110141B02201002,"16045-31-16110141B02201002 [d=2.1991,x=10556,y=11435,w=879,h=880]",480000,468237,11763
16045-31-16110141B02201002,"16045-31-16110141B02201002 [d=2.1991,x=10556,y=12315,w=879,h=880]",480000,409314,70686
16045-31-16110141B02201002,"16045-31-16110141B02201002 [d=2.1991,x=10556,y=13195,w=879,h=879]",480000,408708,71292
16045-31-16110141B02201002,"16045-31-16110141B02201002 [d=2.1991,x=10556,y=14074,w=879,h=880]",480000,386916,93084
16045-31-16110141B02201002,"16045-31-16110141B02201002 [d=2.1991,x=10556,y=14954,w=879,h=880]",480000,417660,62340
16045-31-16110141B02201002,"16045-31-16110141B02201002 [d=2.1991,x=10556,y=15834,w=879,h=879]",480000,416361,63639
16045-31-16110141B02201002,"16045-31-16110141B02201002 [d=2.1991,x=10556,y=16713,w=879,h=880]",480000,461319,18681
16045-31-16110141B02201002,"16045-31-16110141B02201002 [d=2.1991,x=10556,y=17593,w=879,h=879]",480000,478719,1281
16045-31-16110141B02201002,"16045-31-16110141B02201002 [d=2.1991,x=10556,y=18472,w=879,h=880]",480000,468321,11679
16045-31-16110141B02201002,"16045-31-16110141B02201002 [d=2.1991,x=10556,y=19352,w=879,h=880]",480000,471477,8523
16045-31-16110141B02201002,"16045-31-16110141B02201002 [d=2.1991,x=10556,y=20232,w=879,h=879]",480000,479385,615
16045-31-16110141B02201002,"16045-31-16110141B02201002 [d=2.1991,x=10556,y=21111,w=879,h=880]",480000,479481,519
16045-31-16110141B02201002,"16045-31-16110141B02201002 [d=2.1991,x=10556,y=21991,w=879,h=880]",480000,478536,1464
16045-31-16110141B02201002,"16045-31-16110141B02201002 [d=2.1991,x=10556,y=22871,w=879,h=879]",480000,457485,22515
16045-31-16110141B02201002,"16045-31-16110141B02201002 [d=2.1991,x=10556,y=23750,w=879,h=880]",480000,477210,2790
16045-31-16110141B02201002,"16045-31-16110141B02201002 [d=2.1991,x=10556,y=5278,w=879,h=879]",480000,479814,186
16045-31-16110141B02201002,"16045-31-16110141B02201002 [d=2.1991,x=10556,y=6157,w=879,h=880]",480000,451242,28758
16045-31-16110141B02201002,"16045-31-16110141B02201002 [d=2.1991,x=10556,y=7037,w=879,h=880]",480000,326817,153183
16045-31-16110141B02201002,"16045-31-16110141B02201002 [d=2.1991,x=10556,y=7917,w=879,h=879]",480000,362283,117717
16045-31-16110141B02201002,"16045-31-16110141B02201002 [d=2.1991,x=10556,y=8796,w=879,h=880]",480000,419403,60597
16045-31-16110141B02201002,"16045-31-16110141B02201002 [d=2.1991,x=10556,y=9676,w=879,h=880]",480000,442749,37251
16045-31-16110141B02201002,"16045-31-16110141B02201002 [d=2.1991,x=11435,y=10556,w=880,h=879]",480000,453219,26781
16045-31-16110141B02201002,"16045-31-16110141B02201002 [d=2.1991,x=11435,y=11435,w=880,h=880]",480000,419145,60855
16045-31-16110141B02201002,"16045-31-16110141B02201002 [d=2.1991,x=11435,y=12315,w=880,h=880]",480000,440328,39672
16045-31-16110141B02201002,"16045-31-16110141B02201002 [d=2.1991,x=11435,y=13195,w=880,h=879]",480000,454326,25674
16045-31-16110141B02201002,"16045-31-16110141B02201002 [d=2.1991,x=11435,y=14074,w=880,h=880]",480000,435360,44640
16045-31-16110141B02201002,"16045-31-16110141B02201002 [d=2.1991,x=11435,y=14954,w=880,h=880]",480000,444627,35373
16045-31-16110141B02201002,"16045-31-16110141B02201002 [d=2.1991,x=11435,y=15834,w=880,h=879]",480000,453363,26637
16045-31-16110141B02201002,"16045-31-16110141B02201002 [d=2.1991,x=11435,y=16713,w=880,h=880]",480000,464940,15060
16045-31-16110141B02201002,"16045-31-16110141B02201002 [d=2.1991,x=11435,y=17593,w=880,h=879]",480000,478347,1653
16045-31-16110141B02201002,"16045-31-16110141B02201002 [d=2.1991,x=11435,y=18472,w=880,h=880]",480000,474060,5940
16045-31-16110141B02201002,"16045-31-16110141B02201002 [d=2.1991,x=11435,y=19352,w=880,h=880]",480000,474240,5760
16045-31-16110141B02201002,"16045-31-16110141B02201002 [d=2.1991,x=11435,y=20232,w=880,h=879]",480000,478257,1743
16045-31-16110141B02201002,"16045-31-16110141B02201002 [d=2.1991,x=11435,y=21111,w=880,h=880]",480000,479310,690
16045-31-16110141B02201002,"16045-31-16110141B02201002 [d=2.1991,x=11435,y=21991,w=880,h=880]",480000,479157,843
16045-31-16110141B02201002,"16045-31-16110141B02201002 [d=2.1991,x=11435,y=22871,w=880,h=879]",480000,455256,24744
16045-31-16110141B02201002,"16045-31-16110141B02201002 [d=2.1991,x=11435,y=23750,w=880,h=880]",480000,480000,0
16045-31-16110141B02201002,"16045-31-16110141B02201002 [d=2.1991,x=11435,y=5278,w=880,h=879]",480000,478800,1200
16045-31-16110141B02201002,"16045-31-16110141B02201002 [d=2.1991,x=11435,y=6157,w=880,h=880]",480000,445290,34710
16045-31-16110141B02201002,"16045-31-16110141B02201002 [d=2.1991,x=11435,y=7037,w=880,h=880]",480000,425508,54492
16045-31-16110141B02201002,"16045-31-16110141B02201002 [d=2.1991,x=11435,y=7917,w=880,h=879]",480000,431820,48180
16045-31-16110141B02201002,"16045-31-16110141B02201002 [d=2.1991,x=11435,y=8796,w=880,h=880]",480000,409404,70596
16045-31-16110141B02201002,"16045-31-16110141B02201002 [d=2.1991,x=11435,y=9676,w=880,h=880]",480000,445167,34833
16045-31-16110141B02201002,"16045-31-16110141B02201002 [d=2.1991,x=12315,y=10556,w=880,h=879]",480000,455055,24945
16045-31-16110141B02201002,"16045-31-16110141B02201002 [d=2.1991,x=12315,y=11435,w=880,h=880]",480000,473982,6018
16045-31-16110141B02201002,"16045-31-16110141B02201002 [d=2.1991,x=12315,y=12315,w=880,h=880]",480000,479391,609
16045-31-16110141B02201002,"16045-31-16110141B02201002 [d=2.1991,x=12315,y=13195,w=880,h=879]",480000,479877,123
16045-31-16110141B02201002,"16045-31-16110141B02201002 [d=2.1991,x=12315,y=14074,w=880,h=880]",480000,479076,924
16045-31-16110141B02201002,"16045-31-16110141B02201002 [d=2.1991,x=12315,y=14954,w=880,h=880]",480000,473856,6144
16045-31-16110141B02201002,"16045-31-16110141B02201002 [d=2.1991,x=12315,y=15834,w=880,h=879]",480000,469905,10095
16045-31-16110141B02201002,"16045-31-16110141B02201002 [d=2.1991,x=12315,y=16713,w=880,h=880]",480000,459702,20298
16045-31-16110141B02201002,"16045-31-16110141B02201002 [d=2.1991,x=12315,y=17593,w=880,h=879]",480000,473976,6024
16045-31-16110141B02201002,"16045-31-16110141B02201002 [d=2.1991,x=12315,y=18472,w=880,h=880]",480000,474537,5463
16045-31-16110141B02201002,"16045-31-16110141B02201002 [d=2.1991,x=12315,y=19352,w=880,h=880]",480000,477519,2481
16045-31-16110141B02201002,"16045-31-16110141B02201002 [d=2.1991,x=12315,y=20232,w=880,h=879]",480000,477606,2394
16045-31-16110141B02201002,"16045-31-16110141B02201002 [d=2.1991,x=12315,y=21111,w=880,h=880]",480000,479631,369
16045-31-16110141B02201002,"16045-31-16110141B02201002 [d=2.1991,x=12315,y=21991,w=880,h=880]",480000,477462,2538
16045-31-16110141B02201002,"16045-31-16110141B02201002 [d=2.1991,x=12315,y=22871,w=880,h=879]",480000,466491,13509
16045-31-16110141B02201002,"16045-31-16110141B02201002 [d=2.1991,x=12315,y=23750,w=880,h=880]",480000,480000,0
