image,tile_name,total_pixels,black_pixels,non_black_pixels
64857,"64857 [d=2.1996,x=0,y=1760,w=880,h=880]",480000,480000,0
64857,"64857 [d=2.1996,x=0,y=880,w=880,h=880]",480000,480000,0
64857,"64857 [d=2.1996,x=10558,y=20236,w=880,h=880]",480000,480000,0
64857,"64857 [d=2.1996,x=10558,y=21116,w=880,h=880]",480000,365937,114063
64857,"64857 [d=2.1996,x=10558,y=21996,w=880,h=880]",480000,413226,66774
64857,"64857 [d=2.1996,x=10558,y=22876,w=880,h=880]",480000,467523,12477
64857,"64857 [d=2.1996,x=10558,y=23756,w=880,h=880]",480000,458296,21704
64857,"64857 [d=2.1996,x=10558,y=24636,w=880,h=879]",480000,432795,47205
64857,"64857 [d=2.1996,x=10558,y=25515,w=880,h=880]",480000,440733,39267
64857,"64857 [d=2.1996,x=10558,y=26395,w=880,h=880]",480000,451743,28257
64857,"64857 [d=2.1996,x=10558,y=27275,w=880,h=880]",480000,440328,39672
64857,"64857 [d=2.1996,x=10558,y=28155,w=880,h=880]",480000,422511,57489
64857,"64857 [d=2.1996,x=10558,y=29035,w=880,h=880]",480000,428742,51258
64857,"64857 [d=2.1996,x=10558,y=29915,w=880,h=879]",480000,440862,39138
64857,"64857 [d=2.1996,x=10558,y=30794,w=880,h=880]",480000,453309,26691
64857,"64857 [d=2.1996,x=10558,y=31674,w=880,h=880]",480000,451905,28095
64857,"64857 [d=2.1996,x=10558,y=32554,w=880,h=880]",480000,435522,44478
64857,"64857 [d=2.1996,x=10558,y=33434,w=880,h=880]",480000,437736,42264
64857,"64857 [d=2.1996,x=10558,y=34314,w=880,h=880]",480000,439194,40806
64857,"64857 [d=2.1996,x=10558,y=35194,w=880,h=879]",480000,398637,81363
64857,"64857 [d=2.1996,x=10558,y=36073,w=880,h=880]",480000,411549,68451
64857,"64857 [d=2.1996,x=10558,y=36953,w=880,h=880]",480000,432954,47046
64857,"64857 [d=2.1996,x=10558,y=37833,w=880,h=880]",480000,451704,28296
64857,"64857 [d=2.1996,x=10558,y=38713,w=880,h=880]",480000,372777,107223
64857,"64857 [d=2.1996,x=10558,y=39593,w=880,h=880]",480000,229506,250494
64857,"64857 [d=2.1996,x=10558,y=880,w=880,h=880]",480000,480000,0
64857,"64857 [d=2.1996,x=11438,y=20236,w=880,h=880]",480000,437190,42810
64857,"64857 [d=2.1996,x=11438,y=21116,w=880,h=880]",480000,389221,90779
64857,"64857 [d=2.1996,x=11438,y=21996,w=880,h=880]",480000,443613,36387
64857,"64857 [d=2.1996,x=11438,y=22876,w=880,h=880]",480000,456781,23219
64857,"64857 [d=2.1996,x=11438,y=23756,w=880,h=880]",480000,461220,18780
64857,"64857 [d=2.1996,x=11438,y=24636,w=880,h=879]",480000,442002,37998
64857,"64857 [d=2.1996,x=11438,y=25515,w=880,h=880]",480000,446439,33561
64857,"64857 [d=2.1996,x=11438,y=26395,w=880,h=880]",480000,464043,15957
64857,"64857 [d=2.1996,x=11438,y=27275,w=880,h=880]",480000,435765,44235
64857,"64857 [d=2.1996,x=11438,y=28155,w=880,h=880]",480000,469110,10890
64857,"64857 [d=2.1996,x=11438,y=29035,w=880,h=880]",480000,456747,23253
64857,"64857 [d=2.1996,x=11438,y=29915,w=880,h=879]",480000,456489,23511
64857,"64857 [d=2.1996,x=11438,y=30794,w=880,h=880]",480000,447405,32595
64857,"64857 [d=2.1996,x=11438,y=31674,w=880,h=880]",480000,441495,38505
64857,"64857 [d=2.1996,x=11438,y=32554,w=880,h=880]",480000,432651,47349
64857,"64857 [d=2.1996,x=11438,y=33434,w=880,h=880]",480000,438306,41694
64857,"64857 [d=2.1996,x=11438,y=34314,w=880,h=880]",480000,412563,67437
64857,"64857 [d=2.1996,x=11438,y=35194,w=880,h=879]",480000,414249,65751
64857,"64857 [d=2.1996,x=11438,y=36073,w=880,h=880]",480000,368829,111171
64857,"64857 [d=2.1996,x=11438,y=36953,w=880,h=880]",480000,419551,60449
64857,"64857 [d=2.1996,x=11438,y=37833,w=880,h=880]",480000,435834,44166
64857,"64857 [d=2.1996,x=11438,y=38713,w=880,h=880]",480000,381713,98287
64857,"64857 [d=2.1996,x=11438,y=39593,w=880,h=880]",480000,291939,188061
64857,"64857 [d=2.1996,x=11438,y=40473,w=880,h=879]",480000,354966,125034
64857,"64857 [d=2.1996,x=11438,y=41352,w=880,h=880]",480000,479952,48
64857,"64857 [d=2.1996,x=11438,y=880,w=880,h=880]",480000,480000,0
64857,"64857 [d=2.1996,x=12318,y=20236,w=880,h=880]",480000,401079,78921
64857,"64857 [d=2.1996,x=12318,y=21116,w=880,h=880]",480000,407604,72396
64857,"64857 [d=2.1996,x=12318,y=21996,w=880,h=880]",480000,448536,31464
64857,"64857 [d=2.1996,x=12318,y=22876,w=880,h=880]",480000,452796,27204
64857,"64857 [d=2.1996,x=12318,y=23756,w=880,h=880]",480000,448161,31839
64857,"64857 [d=2.1996,x=12318,y=24636,w=880,h=879]",480000,448440,31560
64857,"64857 [d=2.1996,x=12318,y=25515,w=880,h=880]",480000,428217,51783
64857,"64857 [d=2.1996,x=12318,y=26395,w=880,h=880]",480000,440670,39330
64857,"64857 [d=2.1996,x=12318,y=27275,w=880,h=880]",480000,452787,27213
64857,"64857 [d=2.1996,x=12318,y=28155,w=880,h=880]",480000,444747,35253
64857,"64857 [d=2.1996,x=12318,y=29035,w=880,h=880]",480000,453705,26295
64857,"64857 [d=2.1996,x=12318,y=29915,w=880,h=879]",480000,464112,15888
64857,"64857 [d=2.1996,x=12318,y=30794,w=880,h=880]",480000,466560,13440
64857,"64857 [d=2.1996,x=12318,y=31674,w=880,h=880]",480000,454728,25272
64857,"64857 [d=2.1996,x=12318,y=32554,w=880,h=880]",480000,433851,46149
64857,"64857 [d=2.1996,x=12318,y=33434,w=880,h=880]",480000,429558,50442
64857,"64857 [d=2.1996,x=12318,y=34314,w=880,h=880]",480000,453171,26829
64857,"64857 [d=2.1996,x=12318,y=35194,w=880,h=879]",480000,452031,27969
64857,"64857 [d=2.1996,x=12318,y=36073,w=880,h=880]",480000,443709,36291
64857,"64857 [d=2.1996,x=12318,y=36953,w=880,h=880]",480000,454783,25217
64857,"64857 [d=2.1996,x=12318,y=37833,w=880,h=880]",480000,461526,18474
64857,"64857 [d=2.1996,x=12318,y=38713,w=880,h=880]",480000,460512,19488
64857,"64857 [d=2.1996,x=12318,y=39593,w=880,h=880]",480000,409176,70824
64857,"64857 [d=2.1996,x=12318,y=40473,w=880,h=879]",480000,337812,142188
64857,"64857 [d=2.1996,x=12318,y=41352,w=880,h=880]",480000,369117,110883
64857,"64857 [d=2.1996,x=12318,y=880,w=880,h=880]",480000,480000,0
64857,"64857 [d=2.1996,x=13198,y=20236,w=879,h=880]",480000,358095,121905
64857,"64857 [d=2.1996,x=13198,y=21116,w=879,h=880]",480000,412471,67529
64857,"64857 [d=2.1996,x=13198,y=21996,w=879,h=880]",480000,463819,16181
64857,"64857 [d=2.1996,x=13198,y=22876,w=879,h=880]",480000,466971,13029
64857,"64857 [d=2.1996,x=13198,y=23756,w=879,h=880]",480000,440610,39390
64857,"64857 [d=2.1996,x=13198,y=24636,w=879,h=879]",480000,461136,18864
64857,"64857 [d=2.1996,x=13198,y=25515,w=879,h=880]",480000,441255,38745
64857,"64857 [d=2.1996,x=13198,y=26395,w=879,h=880]",480000,430944,49056
64857,"64857 [d=2.1996,x=13198,y=27275,w=879,h=880]",480000,448701,31299
64857,"64857 [d=2.1996,x=13198,y=28155,w=879,h=880]",480000,421662,58338
