image,tile_name,total_pixels,black_pixels,non_black_pixels
16045-16-701002,"16045-16-701002 [d=2.1996,x=10558,y=10558,w=880,h=880]",480000,480000,0
16045-16-701002,"16045-16-701002 [d=2.1996,x=10558,y=11438,w=880,h=880]",480000,480000,0
16045-16-701002,"16045-16-701002 [d=2.1996,x=10558,y=12318,w=880,h=880]",480000,480000,0
16045-16-701002,"16045-16-701002 [d=2.1996,x=10558,y=13198,w=880,h=879]",480000,480000,0
16045-16-701002,"16045-16-701002 [d=2.1996,x=10558,y=14077,w=880,h=880]",480000,480000,0
16045-16-701002,"16045-16-701002 [d=2.1996,x=10558,y=14957,w=880,h=880]",480000,480000,0
16045-16-701002,"16045-16-701002 [d=2.1996,x=10558,y=16717,w=880,h=880]",480000,480000,0
16045-16-701002,"16045-16-701002 [d=2.1996,x=10558,y=17597,w=880,h=880]",480000,480000,0
16045-16-701002,"16045-16-701002 [d=2.1996,x=10558,y=18477,w=880,h=879]",480000,480000,0
16045-16-701002,"16045-16-701002 [d=2.1996,x=10558,y=19356,w=880,h=880]",480000,480000,0
16045-16-701002,"16045-16-701002 [d=2.1996,x=10558,y=20236,w=880,h=880]",480000,480000,0
16045-16-701002,"16045-16-701002 [d=2.1996,x=10558,y=21116,w=880,h=880]",480000,480000,0
16045-16-701002,"16045-16-701002 [d=2.1996,x=10558,y=21996,w=880,h=880]",480000,480000,0
16045-16-701002,"16045-16-701002 [d=2.1996,x=10558,y=22876,w=880,h=880]",480000,480000,0
16045-16-701002,"16045-16-701002 [d=2.1996,x=10558,y=23756,w=880,h=880]",480000,480000,0
16045-16-701002,"16045-16-701002 [d=2.1996,x=10558,y=5279,w=880,h=880]",480000,480000,0
16045-16-701002,"16045-16-701002 [d=2.1996,x=10558,y=6159,w=880,h=880]",480000,480000,0
16045-16-701002,"16045-16-701002 [d=2.1996,x=10558,y=7039,w=880,h=880]",480000,480000,0
16045-16-701002,"16045-16-701002 [d=2.1996,x=10558,y=7919,w=880,h=879]",480000,480000,0
