image,tile_name,total_pixels,black_pixels,non_black_pixels
16045-32-1701002,"16045-32-1701002 [d=2.1996,x=10558,y=10558,w=880,h=880]",480000,455061,24939
16045-32-1701002,"16045-32-1701002 [d=2.1996,x=10558,y=11438,w=880,h=880]",480000,450093,29907
16045-32-1701002,"16045-32-1701002 [d=2.1996,x=10558,y=12318,w=880,h=880]",480000,426678,53322
16045-32-1701002,"16045-32-1701002 [d=2.1996,x=10558,y=13198,w=880,h=879]",480000,439854,40146
16045-32-1701002,"16045-32-1701002 [d=2.1996,x=10558,y=14077,w=880,h=880]",480000,451950,28050
16045-32-1701002,"16045-32-1701002 [d=2.1996,x=10558,y=14957,w=880,h=880]",480000,446032,33968
16045-32-1701002,"16045-32-1701002 [d=2.1996,x=10558,y=15837,w=880,h=880]",480000,444219,35781
16045-32-1701002,"16045-32-1701002 [d=2.1996,x=10558,y=16717,w=880,h=880]",480000,429798,50202
16045-32-1701002,"16045-32-1701002 [d=2.1996,x=10558,y=17597,w=880,h=880]",480000,442755,37245
16045-32-1701002,"16045-32-1701002 [d=2.1996,x=10558,y=18477,w=880,h=879]",480000,409679,70321
16045-32-1701002,"16045-32-1701002 [d=2.1996,x=10558,y=19356,w=880,h=880]",480000,413799,66201
16045-32-1701002,"16045-32-1701002 [d=2.1996,x=10558,y=20236,w=880,h=880]",480000,472767,7233
16045-32-1701002,"16045-32-1701002 [d=2.1996,x=10558,y=22876,w=880,h=880]",480000,417999,62001
16045-32-1701002,"16045-32-1701002 [d=2.1996,x=10558,y=23756,w=880,h=880]",480000,426873,53127
16045-32-1701002,"16045-32-1701002 [d=2.1996,x=10558,y=24636,w=880,h=879]",480000,433638,46362
16045-32-1701002,"16045-32-1701002 [d=2.1996,x=10558,y=25515,w=880,h=880]",480000,480000,0
16045-32-1701002,"16045-32-1701002 [d=2.1996,x=10558,y=6159,w=880,h=880]",480000,478497,1503
16045-32-1701002,"16045-32-1701002 [d=2.1996,x=10558,y=7039,w=880,h=880]",480000,462384,17616
