image,tile_name,total_pixels,black_pixels,non_black_pixels
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=10558,y=10558,w=880,h=880]",480000,479637,363
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=10558,y=11438,w=880,h=880]",480000,480000,0
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=10558,y=12318,w=880,h=880]",480000,479994,6
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=10558,y=13198,w=880,h=879]",480000,478197,1803
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=10558,y=14077,w=880,h=880]",480000,479988,12
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=10558,y=14957,w=880,h=880]",480000,480000,0
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=10558,y=15837,w=880,h=880]",480000,480000,0
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=10558,y=16717,w=880,h=880]",480000,480000,0
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=10558,y=17597,w=880,h=880]",480000,480000,0
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=10558,y=18477,w=880,h=879]",480000,479994,6
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=10558,y=19356,w=880,h=880]",480000,479991,9
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=10558,y=20236,w=880,h=880]",480000,479991,9
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=10558,y=21116,w=880,h=880]",480000,479988,12
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=10558,y=21996,w=880,h=880]",480000,480000,0
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=10558,y=23756,w=880,h=880]",480000,479994,6
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=10558,y=24636,w=880,h=879]",480000,480000,0
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=10558,y=8798,w=880,h=880]",480000,480000,0
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=10558,y=9678,w=880,h=880]",480000,478032,1968
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=11438,y=10558,w=880,h=880]",480000,478572,1428
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=11438,y=11438,w=880,h=880]",480000,480000,0
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=11438,y=12318,w=880,h=880]",480000,479382,618
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=11438,y=13198,w=880,h=879]",480000,477804,2196
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=11438,y=14077,w=880,h=880]",480000,479859,141
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=11438,y=14957,w=880,h=880]",480000,480000,0
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=11438,y=15837,w=880,h=880]",480000,479991,9
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=11438,y=16717,w=880,h=880]",480000,479994,6
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=11438,y=17597,w=880,h=880]",480000,479997,3
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=11438,y=18477,w=880,h=879]",480000,479976,24
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=11438,y=19356,w=880,h=880]",480000,479964,36
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=11438,y=20236,w=880,h=880]",480000,479997,3
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=11438,y=21116,w=880,h=880]",480000,479991,9
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=11438,y=21996,w=880,h=880]",480000,480000,0
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=11438,y=23756,w=880,h=880]",480000,479991,9
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=11438,y=24636,w=880,h=879]",480000,480000,0
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=11438,y=7919,w=880,h=879]",480000,480000,0
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=11438,y=8798,w=880,h=880]",480000,479727,273
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=11438,y=9678,w=880,h=880]",480000,471579,8421
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=12318,y=10558,w=880,h=880]",480000,480000,0
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=12318,y=11438,w=880,h=880]",480000,479526,474
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=12318,y=12318,w=880,h=880]",480000,478569,1431
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=12318,y=13198,w=880,h=879]",480000,480000,0
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=12318,y=14077,w=880,h=880]",480000,480000,0
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=12318,y=14957,w=880,h=880]",480000,479919,81
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=12318,y=15837,w=880,h=880]",480000,480000,0
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=12318,y=16717,w=880,h=880]",480000,479961,39
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=12318,y=17597,w=880,h=880]",480000,479577,423
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=12318,y=18477,w=880,h=879]",480000,479766,234
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=12318,y=19356,w=880,h=880]",480000,479997,3
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=12318,y=20236,w=880,h=880]",480000,480000,0
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=12318,y=21116,w=880,h=880]",480000,479994,6
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=12318,y=21996,w=880,h=880]",480000,480000,0
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=12318,y=22876,w=880,h=880]",480000,480000,0
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=12318,y=23756,w=880,h=880]",480000,480000,0
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=12318,y=24636,w=880,h=879]",480000,480000,0
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=12318,y=25515,w=880,h=880]",480000,480000,0
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=12318,y=7919,w=880,h=879]",480000,480000,0
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=12318,y=8798,w=880,h=880]",480000,479655,345
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=12318,y=9678,w=880,h=880]",480000,479847,153
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=13198,y=10558,w=879,h=880]",480000,480000,0
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=13198,y=11438,w=879,h=880]",480000,479661,339
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=13198,y=12318,w=879,h=880]",480000,479919,81
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=13198,y=13198,w=879,h=879]",480000,480000,0
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=13198,y=14077,w=879,h=880]",480000,480000,0
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=13198,y=14957,w=879,h=880]",480000,479880,120
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=13198,y=15837,w=879,h=880]",480000,479994,6
16045-19-1001002,"16045-19-1001002 [d=2.1996,x=13198,y=16717,w=879,h=880]",480000,479997,3
