image,tile_name,total_pixels,black_pixels,non_black_pixels
16045-25-1301002,"16045-25-1301002 [d=2.1996,x=10558,y=10558,w=880,h=880]",480000,406671,73329
16045-25-1301002,"16045-25-1301002 [d=2.1996,x=10558,y=11438,w=880,h=880]",480000,407854,72146
16045-25-1301002,"16045-25-1301002 [d=2.1996,x=10558,y=12318,w=880,h=880]",480000,464799,15201
16045-25-1301002,"16045-25-1301002 [d=2.1996,x=10558,y=13198,w=880,h=879]",480000,456681,23319
16045-25-1301002,"16045-25-1301002 [d=2.1996,x=10558,y=14077,w=880,h=880]",480000,441489,38511
16045-25-1301002,"16045-25-1301002 [d=2.1996,x=10558,y=14957,w=880,h=880]",480000,458103,21897
16045-25-1301002,"16045-25-1301002 [d=2.1996,x=10558,y=15837,w=880,h=880]",480000,473142,6858
16045-25-1301002,"16045-25-1301002 [d=2.1996,x=10558,y=16717,w=880,h=880]",480000,451287,28713
16045-25-1301002,"16045-25-1301002 [d=2.1996,x=10558,y=17597,w=880,h=880]",480000,429186,50814
16045-25-1301002,"16045-25-1301002 [d=2.1996,x=10558,y=18477,w=880,h=879]",480000,325782,154218
16045-25-1301002,"16045-25-1301002 [d=2.1996,x=10558,y=19356,w=880,h=880]",480000,413235,66765
16045-25-1301002,"16045-25-1301002 [d=2.1996,x=10558,y=20236,w=880,h=880]",480000,451839,28161
16045-25-1301002,"16045-25-1301002 [d=2.1996,x=10558,y=21116,w=880,h=880]",480000,451002,28998
16045-25-1301002,"16045-25-1301002 [d=2.1996,x=10558,y=21996,w=880,h=880]",480000,443421,36579
16045-25-1301002,"16045-25-1301002 [d=2.1996,x=10558,y=7919,w=880,h=879]",480000,479829,171
16045-25-1301002,"16045-25-1301002 [d=2.1996,x=10558,y=8798,w=880,h=880]",480000,474915,5085
16045-25-1301002,"16045-25-1301002 [d=2.1996,x=10558,y=9678,w=880,h=880]",480000,466413,13587
16045-25-1301002,"16045-25-1301002 [d=2.1996,x=11438,y=10558,w=880,h=880]",480000,310719,169281
16045-25-1301002,"16045-25-1301002 [d=2.1996,x=11438,y=11438,w=880,h=880]",480000,352653,127347
16045-25-1301002,"16045-25-1301002 [d=2.1996,x=11438,y=12318,w=880,h=880]",480000,431757,48243
16045-25-1301002,"16045-25-1301002 [d=2.1996,x=11438,y=13198,w=880,h=879]",480000,464760,15240
16045-25-1301002,"16045-25-1301002 [d=2.1996,x=11438,y=14077,w=880,h=880]",480000,468204,11796
16045-25-1301002,"16045-25-1301002 [d=2.1996,x=11438,y=14957,w=880,h=880]",480000,453114,26886
16045-25-1301002,"16045-25-1301002 [d=2.1996,x=11438,y=15837,w=880,h=880]",480000,449095,30905
16045-25-1301002,"16045-25-1301002 [d=2.1996,x=11438,y=16717,w=880,h=880]",480000,435030,44970
16045-25-1301002,"16045-25-1301002 [d=2.1996,x=11438,y=17597,w=880,h=880]",480000,219904,260096
16045-25-1301002,"16045-25-1301002 [d=2.1996,x=11438,y=18477,w=880,h=879]",480000,285696,194304
16045-25-1301002,"16045-25-1301002 [d=2.1996,x=11438,y=19356,w=880,h=880]",480000,446946,33054
16045-25-1301002,"16045-25-1301002 [d=2.1996,x=11438,y=20236,w=880,h=880]",480000,454350,25650
16045-25-1301002,"16045-25-1301002 [d=2.1996,x=11438,y=21116,w=880,h=880]",480000,418536,61464
16045-25-1301002,"16045-25-1301002 [d=2.1996,x=11438,y=21996,w=880,h=880]",480000,444141,35859
16045-25-1301002,"16045-25-1301002 [d=2.1996,x=11438,y=7039,w=880,h=880]",480000,479916,84
16045-25-1301002,"16045-25-1301002 [d=2.1996,x=11438,y=7919,w=880,h=879]",480000,467703,12297
16045-25-1301002,"16045-25-1301002 [d=2.1996,x=11438,y=8798,w=880,h=880]",480000,454215,25785
16045-25-1301002,"16045-25-1301002 [d=2.1996,x=11438,y=9678,w=880,h=880]",480000,386499,93501
16045-25-1301002,"16045-25-1301002 [d=2.1996,x=12318,y=10558,w=880,h=880]",480000,349560,130440
16045-25-1301002,"16045-25-1301002 [d=2.1996,x=12318,y=11438,w=880,h=880]",480000,356475,123525
16045-25-1301002,"16045-25-1301002 [d=2.1996,x=12318,y=12318,w=880,h=880]",480000,442083,37917
16045-25-1301002,"16045-25-1301002 [d=2.1996,x=12318,y=13198,w=880,h=879]",480000,430974,49026
