image,tile_name,total_pixels,black_pixels,non_black_pixels
16049-8-3401002,"16049-8-3401002 [d=2.1996,x=10558,y=10558,w=880,h=880]",480000,480000,0
16049-8-3401002,"16049-8-3401002 [d=2.1996,x=10558,y=11438,w=880,h=880]",480000,480000,0
16049-8-3401002,"16049-8-3401002 [d=2.1996,x=10558,y=12318,w=880,h=880]",480000,480000,0
16049-8-3401002,"16049-8-3401002 [d=2.1996,x=10558,y=13198,w=880,h=879]",480000,480000,0
16049-8-3401002,"16049-8-3401002 [d=2.1996,x=10558,y=14077,w=880,h=880]",480000,479997,3
16049-8-3401002,"16049-8-3401002 [d=2.1996,x=10558,y=14957,w=880,h=880]",480000,479994,6
16049-8-3401002,"16049-8-3401002 [d=2.1996,x=10558,y=15837,w=880,h=880]",480000,480000,0
16049-8-3401002,"16049-8-3401002 [d=2.1996,x=10558,y=16717,w=880,h=880]",480000,480000,0
16049-8-3401002,"16049-8-3401002 [d=2.1996,x=10558,y=17597,w=880,h=880]",480000,479952,48
16049-8-3401002,"16049-8-3401002 [d=2.1996,x=10558,y=18477,w=880,h=879]",480000,480000,0
16049-8-3401002,"16049-8-3401002 [d=2.1996,x=10558,y=19356,w=880,h=880]",480000,480000,0
16049-8-3401002,"16049-8-3401002 [d=2.1996,x=10558,y=20236,w=880,h=880]",480000,480000,0
16049-8-3401002,"16049-8-3401002 [d=2.1996,x=10558,y=21116,w=880,h=880]",480000,477729,2271
16049-8-3401002,"16049-8-3401002 [d=2.1996,x=10558,y=21996,w=880,h=880]",480000,474417,5583
16049-8-3401002,"16049-8-3401002 [d=2.1996,x=10558,y=22876,w=880,h=880]",480000,478908,1092
16049-8-3401002,"16049-8-3401002 [d=2.1996,x=10558,y=23756,w=880,h=880]",480000,477009,2991
16049-8-3401002,"16049-8-3401002 [d=2.1996,x=10558,y=24636,w=880,h=879]",480000,479964,36
16049-8-3401002,"16049-8-3401002 [d=2.1996,x=10558,y=25515,w=880,h=880]",480000,480000,0
16049-8-3401002,"16049-8-3401002 [d=2.1996,x=10558,y=26395,w=880,h=880]",480000,476625,3375
16049-8-3401002,"16049-8-3401002 [d=2.1996,x=10558,y=27275,w=880,h=880]",480000,476550,3450
16049-8-3401002,"16049-8-3401002 [d=2.1996,x=10558,y=28155,w=880,h=880]",480000,479628,372
16049-8-3401002,"16049-8-3401002 [d=2.1996,x=10558,y=29035,w=880,h=880]",480000,475596,4404
16049-8-3401002,"16049-8-3401002 [d=2.1996,x=10558,y=29915,w=880,h=879]",480000,479661,339
16049-8-3401002,"16049-8-3401002 [d=2.1996,x=10558,y=30794,w=880,h=880]",480000,480000,0
16049-8-3401002,"16049-8-3401002 [d=2.1996,x=10558,y=31674,w=880,h=880]",480000,480000,0
16049-8-3401002,"16049-8-3401002 [d=2.1996,x=10558,y=32554,w=880,h=880]",480000,476841,3159
16049-8-3401002,"16049-8-3401002 [d=2.1996,x=10558,y=33434,w=880,h=880]",480000,477702,2298
16049-8-3401002,"16049-8-3401002 [d=2.1996,x=10558,y=34314,w=880,h=880]",480000,479721,279
16049-8-3401002,"16049-8-3401002 [d=2.1996,x=10558,y=35194,w=880,h=879]",480000,479967,33
16049-8-3401002,"16049-8-3401002 [d=2.1996,x=10558,y=36073,w=880,h=880]",480000,479712,288
16049-8-3401002,"16049-8-3401002 [d=2.1996,x=10558,y=36953,w=880,h=880]",480000,479868,132
16049-8-3401002,"16049-8-3401002 [d=2.1996,x=10558,y=37833,w=880,h=880]",480000,479946,54
