image,tile_name,total_pixels,black_pixels,non_black_pixels
16045-29-16110141B02101002,"16045-29-16110141B02101002 [d=2.1991,x=10556,y=10556,w=879,h=879]",480000,351321,128679
16045-29-16110141B02101002,"16045-29-16110141B02101002 [d=2.1991,x=10556,y=11435,w=879,h=880]",480000,412722,67278
16045-29-16110141B02101002,"16045-29-16110141B02101002 [d=2.1991,x=10556,y=12315,w=879,h=880]",480000,479712,288
16045-29-16110141B02101002,"16045-29-16110141B02101002 [d=2.1991,x=10556,y=13195,w=879,h=879]",480000,479232,768
16045-29-16110141B02101002,"16045-29-16110141B02101002 [d=2.1991,x=10556,y=14074,w=879,h=880]",480000,464808,15192
16045-29-16110141B02101002,"16045-29-16110141B02101002 [d=2.1991,x=10556,y=14954,w=879,h=880]",480000,432742,47258
16045-29-16110141B02101002,"16045-29-16110141B02101002 [d=2.1991,x=10556,y=15834,w=879,h=879]",480000,462237,17763
16045-29-16110141B02101002,"16045-29-16110141B02101002 [d=2.1991,x=10556,y=16713,w=879,h=880]",480000,479781,219
16045-29-16110141B02101002,"16045-29-16110141B02101002 [d=2.1991,x=10556,y=17593,w=879,h=879]",480000,480000,0
16045-29-16110141B02101002,"16045-29-16110141B02101002 [d=2.1991,x=10556,y=5278,w=879,h=879]",480000,479862,138
16045-29-16110141B02101002,"16045-29-16110141B02101002 [d=2.1991,x=10556,y=6157,w=879,h=880]",480000,476193,3807
16045-29-16110141B02101002,"16045-29-16110141B02101002 [d=2.1991,x=10556,y=7037,w=879,h=880]",480000,426237,53763
16045-29-16110141B02101002,"16045-29-16110141B02101002 [d=2.1991,x=10556,y=7917,w=879,h=879]",480000,364722,115278
16045-29-16110141B02101002,"16045-29-16110141B02101002 [d=2.1991,x=10556,y=8796,w=879,h=880]",480000,447846,32154
16045-29-16110141B02101002,"16045-29-16110141B02101002 [d=2.1991,x=10556,y=9676,w=879,h=880]",480000,408033,71967
16045-29-16110141B02101002,"16045-29-16110141B02101002 [d=2.1991,x=11435,y=10556,w=880,h=879]",480000,441003,38997
16045-29-16110141B02101002,"16045-29-16110141B02101002 [d=2.1991,x=11435,y=11435,w=880,h=880]",480000,444897,35103
16045-29-16110141B02101002,"16045-29-16110141B02101002 [d=2.1991,x=11435,y=12315,w=880,h=880]",480000,479334,666
16045-29-16110141B02101002,"16045-29-16110141B02101002 [d=2.1991,x=11435,y=13195,w=880,h=879]",480000,479715,285
16045-29-16110141B02101002,"16045-29-16110141B02101002 [d=2.1991,x=11435,y=14074,w=880,h=880]",480000,476793,3207
16045-29-16110141B02101002,"16045-29-16110141B02101002 [d=2.1991,x=11435,y=14954,w=880,h=880]",480000,477336,2664
16045-29-16110141B02101002,"16045-29-16110141B02101002 [d=2.1991,x=11435,y=15834,w=880,h=879]",480000,477309,2691
16045-29-16110141B02101002,"16045-29-16110141B02101002 [d=2.1991,x=11435,y=16713,w=880,h=880]",480000,478839,1161
16045-29-16110141B02101002,"16045-29-16110141B02101002 [d=2.1991,x=11435,y=17593,w=880,h=879]",480000,479043,957
16045-29-16110141B02101002,"16045-29-16110141B02101002 [d=2.1991,x=11435,y=18472,w=880,h=880]",480000,480000,0
16045-29-16110141B02101002,"16045-29-16110141B02101002 [d=2.1991,x=11435,y=4398,w=880,h=880]",480000,480000,0
16045-29-16110141B02101002,"16045-29-16110141B02101002 [d=2.1991,x=11435,y=5278,w=880,h=879]",480000,478281,1719
16045-29-16110141B02101002,"16045-29-16110141B02101002 [d=2.1991,x=11435,y=6157,w=880,h=880]",480000,467587,12413
16045-29-16110141B02101002,"16045-29-16110141B02101002 [d=2.1991,x=11435,y=7037,w=880,h=880]",480000,397429,82571
16045-29-16110141B02101002,"16045-29-16110141B02101002 [d=2.1991,x=11435,y=7917,w=880,h=879]",480000,391434,88566
16045-29-16110141B02101002,"16045-29-16110141B02101002 [d=2.1991,x=11435,y=8796,w=880,h=880]",480000,434760,45240
16045-29-16110141B02101002,"16045-29-16110141B02101002 [d=2.1991,x=11435,y=9676,w=880,h=880]",480000,434202,45798
16045-29-16110141B02101002,"16045-29-16110141B02101002 [d=2.1991,x=12315,y=10556,w=880,h=879]",480000,474021,5979
16045-29-16110141B02101002,"16045-29-16110141B02101002 [d=2.1991,x=12315,y=11435,w=880,h=880]",480000,468168,11832
